split,alpha,k,h,normal_mean,normal_std,accuracy,precision,recall,f1,tn,fp,fn,tp
val,0.3,0.4905512790650989,4.905512790650989,0.5254205607476635,0.9811025581301978,0.5491009681881052,0.9201520912547528,0.27720504009163804,0.426056338028169,552,21,631,242
test,0.3,0.4905512790650989,4.905512790650989,0.5254205607476635,0.9811025581301978,0.5753803596127247,0.9480968858131488,0.3138602520045819,0.47160068846815834,558,15,599,274
mimicry_test,0.3,0.4905512790650989,4.905512790650989,0.5254205607476635,0.9811025581301978,0.6404926866820632,1.0,0.6404926866820632,0.7808540591271703,0,0,467,832
