model,split,accuracy,macro_f1,weighted_f1
baseline_rf,val,0.9935805991440799,0.9952466854377651,0.9935818508671281
baseline_rf,test,0.9907341411261582,0.9917524685862451,0.9907313624311799
proposed_iso_rf,val,0.9942938659058488,0.9957751563147598,0.9942951628296403
proposed_iso_rf,test,0.9914468995010691,0.9922814618632256,0.991445265004244
