Label,attack,benign
Benign,0.0013717421124828531,0.9986282578875172
Syn,0.9994015559545183,0.0005984440454817474
UDP,1.0,0.0
UDP-lag,0.9992578849721707,0.0007421150278293135
UDPLag,1.0,0.0
WebDDoS,0.7894736842105263,0.21052631578947367
